Date,Domino's,Starbucks,McDonald's
"March 24, 2023",309.314545,97.333725,268.454041
"March 27, 2023",319.949036,97.650459,270.937408
"March 28, 2023",321.944885,97.709846,272.926147
"March 29, 2023",325.27124,99.590401,274.499268
"March 30, 2023",325.340759,100.283234,274.845581
"March 31, 2023",327.545105,103.064484,276.646271
"April 3, 2023",330.176422,103.777115,279.149475
"April 4, 2023",326.651459,102.935814,279.287964
"April 5, 2023",326.065643,103.826599,279.030701
"April 6, 2023",328.250092,103.608849,279.891541
"April 10, 2023",327.38623,103.668236,280.772095
"April 11, 2023",330.097015,104.658005,281.464661
"April 12, 2023",324.139313,104.51944,282.27597
"April 13, 2023",330.25589,105.89521,286.006012
"April 14, 2023",328.051544,106.3703,285.916962
"April 17, 2023",327.574921,107.201706,286.243469
"April 18, 2023",324.397491,106.805809,287.826508
"April 19, 2023",323.364807,106.063484,288.182678
"April 20, 2023",320.624237,105.954605,287.915527
"April 21, 2023",328.190521,107.082939,288.964294
"April 24, 2023",327.942291,108.171684,290.092255
"April 25, 2023",327.306824,108.221169,288.420135
"April 26, 2023",336.640564,110.329376,286.68869
"April 27, 2023",314.904877,111.596283,291.59613
"April 28, 2023",315.232544,113.120514,292.615173
"May 1, 2023",309.056366,113.387756,294.425781
"May 2, 2023",309.393982,113.28878,294.910614
"May 3, 2023",312.64093,102.896225,292.09082
"May 4, 2023",309.21524,103.648445,292.031464
"May 5, 2023",308.917358,106.112961,293.456177
"May 8, 2023",306.762665,106.073372,293.545227
"May 9, 2023",306.464783,105.61808,293.515564
"May 10, 2023",304.727112,105.87542,293.426514
"May 11, 2023",304.766815,105.06971,291.665405
"May 12, 2023",305.412231,105.557121,293.001068
"May 15, 2023",305.680359,106.074356,292.763611
"May 16, 2023",299.722626,104.721573,291.032135
"May 17, 2023",302.900055,105.129402,290.349457
"May 18, 2023",309.165588,106.521965,290.933228
"May 19, 2023",310.257843,104.950356,292.417297
"May 22, 2023",306.73288,102.354195,286.283051
"May 23, 2023",302.145447,99.80777,283.334595
"May 24, 2023",304.637726,99.08165,282.889404
"May 25, 2023",302.353943,97.917854,282.493591
"May 26, 2023",297.716858,98.007378,283.008118
"May 30, 2023",289.336365,97.231514,281.899994
"May 31, 2023",287.80719,97.122093,282.087952
"June 1, 2023",294.579132,97.002731,284.818726
"June 2, 2023",301.053192,98.972229,288.35968
"June 5, 2023",295.730957,99.399948,286.887573
"June 6, 2023",295.641571,97.69902,283.018402
"June 7, 2023",295.46286,97.400612,280.392517
"June 8, 2023",297.786377,98.624092,284.25177
"June 9, 2023",295.969269,97.440399,285.256378
"June 12, 2023",299.732544,97.937744,287.026855
"June 13, 2023",299.76236,98.733505,287.006927
"June 14, 2023",304.786957,100.126083,286.897552
"June 15, 2023",324.466675,100.842255,291.045227
"June 16, 2023",330.398529,101.329659,292.129425
"June 20, 2023",324.546448,100.732841,291.472931
"June 21, 2023",322.12384,101.329659,292.945007
"June 22, 2023",320.060181,100.315071,291.731537
"June 23, 2023",315.853088,97.818382,288.35968
"June 26, 2023",318.265686,97.708969,287.544067
"June 27, 2023",323.938293,98.196365,289.742218
"June 28, 2023",324.526489,98.086952,290.179871
"June 29, 2023",329.720612,98.156578,292.895294
"June 30, 2023",335.961487,98.534561,296.814209
"July 3, 2023",335.632507,98.624092,293.263306
"July 5, 2023",333.937683,97.937744,295.312286
"July 6, 2023",332.8909,95.689728,293.342896
"July 7, 2023",340.637177,95.540535,290.537964
"July 10, 2023",346.349701,98.604187,292.915161
"July 11, 2023",348.722443,99.559097,293.163849
"July 12, 2023",387.404022,100.603531,294.029175
"July 13, 2023",385.68927,101.061089,293.641266
"July 14, 2023",383.486023,101.071037,293.362793
"July 17, 2023",388.550507,100.394646,293.104156
"July 18, 2023",391.092743,100.225548,292.248779
"July 19, 2023",391.132599,101.289871,292.557098
"July 20, 2023",386.646332,100.34491,295.541077
"July 21, 2023",384.263641,102.27462,294.029175
"July 24, 2023",384.722229,102.234833,293.730804
"July 25, 2023",395.838196,102.374084,290.79657
"July 26, 2023",400.13504,101.190407,290.18985
"July 27, 2023",401.351318,100.245438,293.61145
"July 28, 2023",399.656525,100.712952,292.457642
"July 31, 2023",395.529144,101.03125,291.63208
"August 1, 2023",398.430267,100.7229,289.513489
"August 2, 2023",397.084381,101.58828,288.071228
"August 3, 2023",400.13504,101.787224,289.463715
"August 4, 2023",394.153351,100.145973,285.485107
"August 7, 2023",397.473206,101.200348,289.841705
"August 8, 2023",396.795288,100.165863,288.031433
"August 9, 2023",395.010742,99.389999,286.68866
"August 10, 2023",397.184082,101.660004,286.062042
"August 11, 2023",392.96701,100.989998,287.076569
"August 14, 2023",396.376556,101.010002,287.265564
"August 15, 2023",392.618073,100.040001,286.75827
"August 16, 2023",387.922424,98.980003,283.873779
"August 17, 2023",381.133209,96.57,280.352722
"August 18, 2023",377.673798,97.230003,280.233368
"August 21, 2023",378.720612,96.459999,278.54245
"August 22, 2023",378.561096,96.07,278.811005
"August 23, 2023",381.45224,95.18,280.362671
"August 24, 2023",377.703705,94.830002,280.840118
"August 25, 2023",379.558044,95.480003,283.058167
"August 28, 2023",387.065063,97.040001,282.162994
"August 29, 2023",384.991425,99.150002,282.073456
"August 30, 2023",392.986938,99.239998,282.719971
"August 31, 2023",386.217651,97.440002,281.149994
"September 1, 2023",389.946259,98,280.940002
"September 5, 2023",388.700073,96.839996,279.160004
"September 6, 2023",383.266693,95.949997,275.440002
"September 7, 2023",388.161713,95.099998,278.329987
"September 8, 2023",386.187744,95.279999,279.220001
"September 11, 2023",393.694763,95.669998,279.76001
"September 12, 2023",392.388763,96.239998,280.709991
"September 13, 2023",395.25,96.93,281.769989
"September 14, 2023",399.070007,97.160004,284.76001
"September 15, 2023",388.480011,96.230003,278.230011
"September 18, 2023",384.309998,96.760002,277.720001
"September 19, 2023",382.829987,95.290001,278.130005
"September 20, 2023",384.839996,95.160004,277.200012
"September 21, 2023",378.049988,93.099998,271.220001
"September 22, 2023",381.350006,93.68,272.220001
